date,1. open,2. high,3. low,4. close,5. volume
2021-05-13 10:27:00,244.1377,244.1377,243.7885,243.9144,87445.0
2021-05-13 10:26:00,244.3721,244.427,244.1776,244.1776,61979.0
2021-05-13 10:25:00,244.3472,244.3971,244.2574,244.3771,56591.0
2021-05-13 10:24:00,244.1476,244.3572,244.1177,244.3472,73504.0
2021-05-13 10:23:00,244.0778,244.1676,243.978,244.1277,71569.0
2021-05-13 10:22:00,243.9182,244.0826,243.9182,244.0578,82722.0
2021-05-13 10:21:00,244.008,244.1476,243.9082,243.9227,85497.0
2021-05-13 10:20:00,244.2574,244.3172,243.988,244.008,83268.0
2021-05-13 10:19:00,244.2274,244.3927,244.1676,244.2175,78174.0
2021-05-13 10:18:00,244.0977,244.3172,244.0379,244.2075,79255.0
2021-05-13 10:17:00,244.2175,244.2175,243.998,244.1177,109930.0
2021-05-13 10:16:00,244.2374,244.3871,244.1377,244.2274,93054.0
2021-05-13 10:15:00,244.437,244.4543,244.0379,244.2085,87802.0
2021-05-13 10:14:00,244.2753,244.4569,244.2574,244.4519,154422.0
2021-05-13 10:13:00,243.968,244.2674,243.9481,244.2474,101108.0
2021-05-13 10:12:00,243.8783,243.998,243.7685,243.9183,91734.0
2021-05-13 10:11:00,243.8683,243.9481,243.7685,243.8783,88772.0
2021-05-13 10:10:00,243.7286,243.9281,243.6288,243.8482,94003.0
2021-05-13 10:09:00,243.6538,243.7785,243.6538,243.6989,83707.0
2021-05-13 10:08:00,243.4891,243.7685,243.4492,243.6787,119460.0
2021-05-13 10:07:00,243.3694,243.569,243.3395,243.4891,120753.0
2021-05-13 10:06:00,243.4293,243.4692,243.2697,243.3445,64016.0
2021-05-13 10:05:00,243.494,243.539,243.3844,243.4293,69731.0
2021-05-13 10:04:00,243.3545,243.549,243.2896,243.4991,89695.0
2021-05-13 10:03:00,243.3994,243.4692,243.2597,243.3794,84633.0
2021-05-13 10:02:00,243.3294,243.4193,243.2198,243.4093,98645.0
2021-05-13 10:01:00,242.7459,243.3279,242.7459,243.2896,117618.0
2021-05-13 10:00:00,242.6112,242.7708,242.5513,242.7209,65658.0
2021-05-13 09:59:00,242.681,242.8625,242.6211,242.6211,50465.0
2021-05-13 09:58:00,242.9105,242.9404,242.6012,242.6531,70213.0
2021-05-13 09:57:00,243.0302,243.13,242.8481,242.8706,121913.0
2021-05-13 09:56:00,242.5314,243.1,242.5314,243.0302,153962.0
2021-05-13 09:55:00,242.1223,242.5812,242.0624,242.5413,140820.0
2021-05-13 09:54:00,241.823,242.232,241.803,242.1223,78075.0
2021-05-13 09:53:00,241.5835,241.952,241.5337,241.7831,106798.0
2021-05-13 09:52:00,241.384,241.6234,241.3241,241.6085,91519.0
2021-05-13 09:51:00,241.4439,241.7132,241.3441,241.374,159880.0
2021-05-13 09:50:00,241.7033,241.7232,241.374,241.4685,132648.0
2021-05-13 09:49:00,242.0225,242.0425,241.6683,241.6833,119369.0
2021-05-13 09:48:00,242.0924,242.2121,241.9726,242.0425,67748.0
2021-05-13 09:47:00,242.3119,242.3617,242.0225,242.0924,88422.0
2021-05-13 09:46:00,242.0225,242.5114,242.0225,242.2919,186258.0
2021-05-13 09:45:00,242.1722,242.2121,241.9826,242.0475,70409.0
2021-05-13 09:44:00,242.1423,242.3314,241.9427,242.1124,92170.0
2021-05-13 09:43:00,242.1073,242.2619,241.9926,242.1522,84203.0
2021-05-13 09:42:00,242.2449,242.4805,242.0724,242.1173,110307.0
2021-05-13 09:41:00,242.1323,242.5264,242.0924,242.2221,130108.0
2021-05-13 09:40:00,242.3119,242.3917,242.1023,242.1273,143471.0
2021-05-13 09:39:00,242.5114,242.5912,242.262,242.3318,124747.0
2021-05-13 09:38:00,242.1921,242.5431,242.0425,242.5114,191664.0
2021-05-13 09:37:00,241.9726,242.2121,241.823,242.192,114983.0
2021-05-13 09:36:00,241.6634,242.1622,241.384,241.9926,152971.0
2021-05-13 09:35:00,241.9677,242.1921,241.6434,241.6733,109687.0
2021-05-13 09:34:00,242.6012,242.6012,241.8928,241.9427,261069.0
2021-05-13 09:33:00,242.4914,242.6311,242.1622,242.5995,170503.0
2021-05-13 09:32:00,241.7332,242.4904,241.6733,242.4904,204059.0
2021-05-13 09:31:00,241.2443,241.7731,240.8652,241.7731,587225.0
2021-05-13 09:30:00,241.4239,241.4239,241.2443,241.3042,2308.0
2021-05-13 09:29:00,241.3142,241.3142,241.3142,241.3142,1890.0
2021-05-13 09:28:00,241.394,241.394,241.394,241.394,1153.0
2021-05-13 09:27:00,241.2643,241.394,241.2443,241.394,7342.0
2021-05-13 09:26:00,241.384,241.384,241.2643,241.2643,1966.0
2021-05-13 09:25:00,241.3441,241.3441,241.3441,241.3441,1326.0
2021-05-13 09:24:00,241.4838,241.4838,241.2443,241.3441,7494.0
2021-05-13 09:23:00,241.4439,241.4937,241.3541,241.4339,3479.0
2021-05-13 09:22:00,241.2443,241.4439,241.2443,241.4439,5444.0
2021-05-13 09:21:00,241.2443,241.3241,241.2044,241.3241,4156.0
2021-05-13 09:20:00,240.9949,241.1545,240.9949,241.1545,1583.0
2021-05-13 09:19:00,241.0147,241.0947,241.0049,241.0947,1404.0
2021-05-13 09:18:00,240.7455,240.945,240.7455,240.945,4006.0
2021-05-13 09:17:00,240.6956,240.6956,240.6956,240.6956,500.0
2021-05-13 09:16:00,240.7554,240.7554,240.7554,240.7554,728.0
2021-05-13 09:15:00,240.6357,240.6457,240.4462,240.4462,1289.0
2021-05-13 09:14:00,240.7455,240.7455,240.4462,240.4462,2069.0
2021-05-13 09:13:00,240.7554,240.935,240.7554,240.935,1334.0
2021-05-13 09:11:00,240.965,240.965,240.955,240.955,1844.0
2021-05-13 09:10:00,240.9749,241.0448,240.945,241.0448,2795.0
2021-05-13 09:09:00,241.0248,241.0448,240.945,240.955,4063.0
2021-05-13 09:08:00,241.1446,241.1446,241.0448,241.0448,1260.0
2021-05-13 09:07:00,241.0947,241.1545,240.9551,241.1545,4026.0
2021-05-13 09:06:00,240.8951,240.945,240.8552,240.945,4382.0
2021-05-13 09:05:00,241.1446,241.1446,240.945,240.945,8633.0
2021-05-13 09:04:00,240.935,241.1246,240.935,241.1246,3680.0
2021-05-13 09:03:00,240.8951,240.935,240.8951,240.935,2574.0
2021-05-13 09:02:00,240.7455,240.8452,240.7455,240.8452,2420.0
2021-05-13 09:01:00,240.5958,240.5958,240.5958,240.5958,1130.0
2021-05-13 09:00:00,240.6657,240.7355,240.6657,240.7355,699.0
2021-05-13 08:59:00,240.496,240.5709,240.496,240.5659,1814.0
2021-05-13 08:58:00,240.6557,240.6557,240.5659,240.5659,2127.0
2021-05-13 08:57:00,240.7155,240.7455,240.6457,240.7455,2224.0
2021-05-13 08:56:00,240.536,240.6457,240.516,240.5659,1630.0
2021-05-13 08:55:00,240.536,240.536,240.516,240.516,1922.0
2021-05-13 08:54:00,240.8153,240.8153,240.536,240.6257,3591.0
2021-05-13 08:53:00,240.7954,240.7954,240.7155,240.7155,1882.0
2021-05-13 08:51:00,240.7155,240.7155,240.7155,240.7155,857.0
2021-05-13 08:50:00,240.7954,240.7954,240.6457,240.6457,4602.0
2021-05-13 08:49:00,238.4508,240.8552,238.4508,240.8452,400816.0
2021-05-13 08:48:00,240.955,240.955,240.935,240.935,1576.0
2021-05-13 08:47:00,240.9949,240.9949,240.955,240.955,2135.0
2021-05-13 08:46:00,240.9849,241.1446,240.9849,241.1146,6194.0
2021-05-13 08:45:00,240.8452,240.945,240.8452,240.945,4244.0
2021-05-13 08:44:00,240.935,240.945,240.6557,240.7455,3361.0
2021-05-13 08:43:00,240.7854,240.945,240.7854,240.945,2771.0
2021-05-13 08:42:00,240.536,240.7155,240.536,240.7155,2428.0
2021-05-13 08:41:00,240.6457,240.6956,240.6457,240.6457,1442.0
